starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 05 21:21:03 2024	1730838063	2	4	6	0
Tue Nov 05 21:21:36 2024	1730838096	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:44 2024	1730838104	3	3	6	0
Tue Nov 05 21:21:11 2024	1730838071	3	3	6	0
Tue Nov 05 21:21:45 2024	1730838105	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:45 2024	1730838105	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:11 2024	1730838071	2	4	6	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	6	0
Tue Nov 05 21:21:35 2024	1730838095	3	3	6	0
Tue Nov 05 21:21:35 2024	1730838095	3	2	6	0
Tue Nov 05 21:21:47 2024	1730838107	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:42 2024	1730838102	3	3	6	0
Tue Nov 05 21:21:56 2024	1730838116	3	3	6	0
Tue Nov 05 21:21:03 2024	1730838063	3	3	6	0
Tue Nov 05 21:21:44 2024	1730838104	3	3	6	0
Tue Nov 05 21:21:35 2024	1730838095	3	3	6	0
Tue Nov 05 21:21:45 2024	1730838105	3	3	6	0
Tue Nov 05 21:21:47 2024	1730838107	3	3	6	0
Tue Nov 05 21:21:37 2024	1730838097	3	3	6	0
Tue Nov 05 21:21:36 2024	1730838096	3	3	6	0
Tue Nov 05 21:21:56 2024	1730838116	3	3	6	0
Tue Nov 05 21:21:45 2024	1730838105	3	3	6	0
Tue Nov 05 21:21:03 2024	1730838063	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:50 2024	1730838110	3	3	6	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:45 2024	1730838105	3	3	6	0
Tue Nov 05 21:21:03 2024	1730838063	2	4	6	0
Tue Nov 05 21:21:46 2024	1730838106	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:19 2024	1730838079	3	3	6	0
Tue Nov 05 21:21:14 2024	1730838074	3	3	6	0
Tue Nov 05 21:21:56 2024	1730838116	3	3	6	0
Tue Nov 05 21:21:36 2024	1730838096	3	3	6	0
Tue Nov 05 21:21:45 2024	1730838105	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:47 2024	1730838107	2	4	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:45 2024	1730838105	3	3	6	0
Tue Nov 05 21:21:47 2024	1730838107	3	3	6	0
Tue Nov 05 21:21:45 2024	1730838105	3	3	6	0
Tue Nov 05 21:21:36 2024	1730838096	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:03 2024	1730838063	3	3	6	0
Tue Nov 05 21:21:44 2024	1730838104	3	3	6	0
Tue Nov 05 21:21:36 2024	1730838096	3	3	6	0
Tue Nov 05 21:21:36 2024	1730838096	3	3	6	0
Tue Nov 05 21:21:11 2024	1730838071	3	3	6	0
Tue Nov 05 21:21:08 2024	1730838068	3	3	6	0
Tue Nov 05 21:21:44 2024	1730838104	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:45 2024	1730838105	3	3	6	0
Tue Nov 05 21:21:40 2024	1730838100	3	3	6	0
Tue Nov 05 21:21:24 2024	1730838084	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	6	0
Tue Nov 05 21:21:37 2024	1730838097	3	3	6	0
